feature,coefficient,std_error,z_score,p_value,significant
access=no,-0.12718310986262543,0.41014575859685115,-0.31009246638983007,0.7564906410471617,False
sidewalk=no,-0.04879424624103608,0.16177597546620048,-0.3016161460341839,0.7629446981466219,False
highway=unclassified,-0.1408856259105983,0.6429188371960852,-0.21913438798127685,0.8265453639613065,False
access=delivery,-0.30608252480862236,1.480618492784259,-0.20672612580506358,0.8362237526643488,False
access=yes,-0.23305119082003742,1.573531360349934,-0.14810711542997765,0.8822582340785392,False
cycleway=no,-0.053640116549678776,0.3746167929024638,-0.14318663115469213,0.8861427878182295,False
highway=secondary_link,-0.22057366571567918,2.104256244939344,-0.10482262616359127,0.9165165558722095,False
surface=bricks,-0.19458983242285766,2.0047168685605716,-0.09706599244739093,0.9226739873939682,False
oneway=no,-0.009021348018789135,0.12679579759598936,-0.07114863575789744,0.9432794604807027,False
lit=missing,-0.04061522224165456,0.8217075637574932,-0.049427830572630754,0.9605783496728568,False
highway=residential,0.02351031049143746,0.6303712882855922,0.037295972910469904,0.9702490164125588,False
smoothness=horrible,-0.06744448507671547,3.4905494811921502,-0.01932202521125147,0.984584213629772,False
highway=service,-0.0064086935013210385,0.632133341253576,-0.010138198830980874,0.9919110262469149,False
