,highway=living_street,highway=motorway,highway=motorway_link,highway=path,highway=primary,highway=residential,highway=secondary,highway=secondary_link,highway=service,highway=tertiary,highway=track,highway=unclassified,surface=bricks,surface=cobblestone,surface=compacted,surface=concrete,surface=concrete:lanes,surface=concrete:plates,surface=dirt,surface=fine_gravel,surface=grass_paver,surface=gravel,surface=ground,surface=missing,surface=paved,surface=paving_stones,surface=sand,surface=sett,surface=unhewn_cobblestone,surface=unpaved,lit=missing,lit=no,lit=yes,cycleway=missing,cycleway=no,cycleway=separate,cycleway=track,sidewalk=left,sidewalk=missing,sidewalk=no,sidewalk=right,sidewalk=separate,oneway=no,oneway=yes,tunnel=missing,tunnel=yes,access=delivery,access=destination,access=missing,access=no,access=permissive,access=private,access=yes,smoothness=excellent,smoothness=good,smoothness=horrible,smoothness=intermediate,smoothness=missing,smoothness=very_bad,road_segment_length_m,maxspeed,lanes,width
lit=missing,-0.2747712114148414,-0.2497945335141199,-0.2595657302844428,-0.26827989555780823,-0.26215347340432826,-0.2665178538036273,-0.2656579254522023,-0.259020954780247,-0.2743513869681841,-0.26536997276677854,-0.27583983796079475,-0.2661291793000444,-0.0018322425626982146,-0.008777931294794802,-0.003907869571816042,0.0013714641482881409,0.01003869989970939,-0.007179644164584517,0.0013254123129956216,0.004676608849578173,0.010240894298230148,-0.007955694118355013,-0.0011061815103077758,-0.0007772702115563437,0.002142134117351742,-0.007315027295930753,0.0015107247300258778,-0.00688243305354738,-0.0022919532944491038,0.0022760178638641603,0.6794145236591805,0.6731495554194401,0.6739991378500784,-0.024937786496673404,-0.024239911359055528,-0.022704697189323293,-0.024529198765690315,0.0002564413561460432,-0.00021709713953522403,-0.00610834272454504,-0.0004262598375665898,0.0010193424045536407,0.0009731176072512543,-0.0033434694426784247,-0.33109671230280746,0.16606804347334578,-0.01746685326199372,-0.023809269833748734,-0.0325619502113954,-0.0011879311628209674,-0.03046438305116147,-0.03344123628318889,-0.03064626227780886,-0.018174314088053128,-0.01898742682545384,-0.010676772810450538,-0.018603696356782533,-0.02085562774181598,-0.01394651648186722,0.000539835936613295,-0.001598150974103673,0.000502307477144863,-0.0005808906627702199
lit=no,-0.27914244248013764,-0.25390594405010924,-0.26559091762293613,-0.28035106853864605,-0.26804171608053307,-0.2708289530724781,-0.27039327690344034,-0.26203999733586913,-0.2776927492942254,-0.2695739604229261,-0.2840987055344002,-0.2725530265607977,-0.002901228122804913,-0.0072215450427195555,-0.009750210404892263,0.00020461266803600833,-0.0026404547328099256,-0.003225327612397818,0.008438126964868314,0.003936683963365027,0.0005187990627570143,-0.0035326982351576476,-0.001296426205146242,0.0008126483610893678,-0.0013560367436336119,-0.006692612457480829,0.01150999144596193,-0.007722695001126907,-0.0017092827074100684,0.010937251182179227,0.6731495554194398,0.6878640632814286,0.6791390601016314,-0.0259149253572936,-0.025133647768919548,-0.025896097182428832,-0.02418905104633469,0.0005241349109488629,-0.00020890188658854785,-0.009581220046833264,4.2079912009089846e-05,8.68586686260788e-05,0.000800287754911384,-0.0030628624119828406,-0.3290489290282845,0.17438518544149068,-0.02102258358022209,-0.023413680575326234,-0.03390165407752418,-0.003567384185241165,-0.030241113986357263,-0.03407296064061558,-0.02826216303623741,-0.01984172916768213,-0.020146130796931765,-0.027530410855435263,-0.019045959114744465,-0.020266700127075942,-0.01460263583418713,-0.00033679306517583776,-0.002475331175945639,0.000838684436470352,-0.0005460366892498725
lit=yes,-0.28054997134650594,-0.2570595762595063,-0.26711268553998885,-0.2749665917075439,-0.2689743376388324,-0.27311584960388324,-0.2722549167838188,-0.2650237515680458,-0.27746134021781255,-0.2726412588996554,-0.2803300265082744,-0.27242664764408414,-0.0030189628539297416,-0.0073327847503714995,-0.002116167112049365,0.0007543532780421862,0.006356687556858724,-0.004245354436938641,0.0066943781555447975,0.0037334696445913127,0.006418646781968086,-0.0016060340797447645,-0.0013223765198167835,0.0005489421757248448,-0.00039500623488123273,-0.007106940461247508,0.010321174823845907,-0.007780927049409222,-0.002669830203060979,0.009378111806806932,0.6739991378500763,0.6791390601016307,0.6815168137436167,-0.023412073912042836,-0.02297745389695695,-0.02293211100241422,-0.023059801904919065,-1.8270298967345586e-05,0.0005161259966133694,-0.005956971716518862,-5.8358397391866415e-05,0.0009294394822898882,0.0017985588707183273,-0.00422629524838931,-0.33300706465174784,0.17128416911983127,-0.021335546392255763,-0.02276844739615419,-0.03254048029279015,-0.001805212775398184,-0.027774354056405375,-0.032836620750234004,-0.026617427252946656,-0.018872855447186875,-0.0198234015058459,-0.02123180790908678,-0.0188625677973239,-0.020084852760846893,-0.013710778422402209,0.000772874654325183,-0.0015527902909510908,0.0004509861378450809,-0.0007466249627831281
cycleway=missing,-0.015544337288154707,-0.015732212729948982,-0.015459760370564561,-0.013492353117190235,-0.0146632932472153,-0.017435142397396054,-0.01243696959145587,-0.01399471656397872,-0.015229954459971839,-0.016979365803854462,-0.014674342702092502,-0.014441016228387426,0.0017639078130869238,-0.0005334647140455142,0.001848763870219748,-0.00029732945651209813,0.0008245600348405506,-0.00020649116419141646,0.0005322201106063236,-0.000311796890878303,-0.0006462810026410247,0.0004827004882386424,-0.00024285580778079187,-0.0007057298421990818,-0.0004939388722436183,-0.0004375025125737387,0.000946841120921241,-0.0009192965066322668,-0.0029175894218249907,4.655760244788341e-05,-0.02493778649668983,-0.025914925357310322,-0.02341207391205953,0.060941922870947865,0.06092826033167857,0.06093330557632152,0.05421557251470279,-0.007228820200916764,-0.007399956080560906,-0.0062240700760498365,-0.006841423222742975,-0.005925620194221258,-7.394545787279277e-06,-0.00229309821330617,-0.009819871725682095,-0.02766892949519863,-0.0013306792609642736,-0.0023384851593078264,-0.0023689364044720126,-0.0026801493103770263,-0.0016365770930065002,-0.002723253780660942,-0.0018491565800989834,-0.003214801823733158,-0.0027565723266751423,-0.001662763164743947,-0.000758247692322426,-1.336796057684314e-05,-0.004021205928749471,0.0007327442741809866,0.00032304327915040913,-0.0003010706820221455,0.0005098499943791019
cycleway=no,-0.015140267074684959,-0.018783977713147396,-0.017823147754811995,-0.01532096514695126,-0.016647996034654566,-0.018981138311675597,-0.015015223265434483,-0.01627868207482617,-0.016298831857957732,-0.021285549656112422,-0.01634001513692416,-0.012177843515578348,0.0030654278323613417,-0.0017641577682939627,0.0020062936761850126,-7.10462474026277e-05,-0.000310687588623859,-0.001003223156590234,2.9270420844748413e-05,-3.919558238496571e-05,-0.0021625818115611384,0.0005813896915337187,-0.000503272157082823,-0.0008144313997707182,-0.0007107071005370672,-0.004366720228935405,0.0007410318743330104,-0.0005932237198685874,-0.004361215009085215,-0.00017090202425917077,-0.024239911359073253,-0.02513364776893759,-0.02297745389697496,0.060928260331678696,0.14089936372021522,0.06070257348053275,0.0552200581456095,-0.025997572683320137,-0.008241417843444215,-0.006921240910043857,-0.008564181711938295,-0.008661941508757537,0.0010542657375784592,-0.0019369573879613193,-0.007291989747882694,-0.024918933062301883,0.0012661952614822316,-0.003221803555964082,-0.0029868764840788537,-0.004413538261002239,-0.0020005107711983535,-0.0036219248575742502,-0.0012497453965522837,-0.004916175512075668,-0.0025173162147654944,-0.0015756056857617546,-0.0014874688220054342,0.00019435985500777887,-0.002772587662485052,0.0005352433899853964,0.000577007094830434,-0.0001647009701761356,0.0007496797977678428
cycleway=separate,-0.015359662463782097,-0.01429175325771202,-0.01339795909429876,-0.013869825877848626,-0.013578793397802706,-0.018644450702621617,-0.012062962722648911,-0.013298149666122422,-0.015283327725049181,-0.016076071112061864,-0.016140172916732108,-0.014061868979517568,0.0030015285057032833,0.0016089497110454553,0.003654890280716019,0.0010242950659925618,0.003910318755076529,0.00029902638341972303,0.001774958595849685,0.0002972719323535719,0.002064375738213233,0.0022075284589120536,0.002949829208637854,0.001674426438879149,0.0027268649624599727,0.0009628910856619336,0.0020396650857142217,0.0004373344790102197,-0.0010194316984923676,0.0003970455328829885,-0.0227046971893395,-0.02589609718244535,-0.022932111002430727,0.060933305576321484,0.06070257348053259,0.15535923118344339,0.05397833738902694,-0.007165432316887137,-0.009007456220712248,-0.006469556637625182,-0.007292100527867612,-0.005311139438917306,0.0005535192720870563,-0.001661930629624327,-0.009420118026622157,-0.027263216572125798,-0.0019162279457536958,-0.0012494700551489992,-0.002473061456653261,-0.002622893695846729,-0.001669577594047913,-0.002092372281553768,-2.7155055694176485e-06,-0.0030299186768016914,-0.002394404164744874,9.32938706615235e-05,-0.0001519356071015938,-0.0017273605825035116,-0.005066821243057783,0.001241075440643623,0.00019964604312370103,-0.00026227490847819193,0.0002910981783984508
cycleway=track,-0.015449340493145407,-0.013970952207693389,-0.015207109817517559,-0.01458248584050392,-0.013915002453403628,-0.01696863538703505,-0.013339732516322228,-0.013149516951681432,-0.0155106533818972,-0.015583698153471626,-0.01621795469366254,-0.012649549081694097,0.001282307320990844,-0.0013535029498017365,0.000298594765339852,-2.1613668766141536e-05,-9.282452598845363e-05,-0.0003349935109966329,0.000564133747100913,-0.0006111602642264222,-0.0011188435607834806,-0.0012721742210354808,-0.0007041353194962605,-0.0008115497611546898,-0.001753012149202228,-0.0007947358446021625,0.000903138168506252,-0.0009193950496818603,-0.0010940828398446855,-0.00012949662708523012,-0.024529198765706934,-0.02418905104635152,-0.023059801904935884,0.054215572514702916,0.05522005814560952,0.053978337389027124,0.1221351917850827,-0.0024507724033250113,-0.002025124417617165,-0.0016143536501749842,-0.0018220029811154685,-0.0009300355400999343,0.0003586183727866895,-0.0005751262592624668,-0.009015421820357448,-0.0274660078767427,-0.0010543345371414195,-0.0022984212216990456,-0.002740065827020678,-0.003357520502918541,-0.0027040842364536456,-0.003438928765567487,-0.0027954121015260455,-0.006939840005538262,-0.002579686158595154,-0.001562550635983004,-0.0007786770059625487,-8.024468340368607e-05,-0.0015437751191341093,0.0012107526261731865,-0.0008858190020825252,-4.8728140917986825e-05,0.0004571324065676812
sidewalk=left,-0.00035513208325096176,0.00036805108631946697,0.00011921933880347097,6.111548969236e-05,8.614417634720074e-05,0.0006777411789211276,0.0005116131109133404,-0.0003467511455319234,9.375678276113595e-05,0.0015885816231345972,-0.0004289144422681407,-0.006388334574762419,-0.0010148106253594516,0.0018916845479375046,-0.000796501128781436,0.00017793654082708013,0.0001465169610699618,0.0005291195776311511,-0.00038355339060544205,0.00036428878106979884,0.0004397600493119959,-0.00014343027015496567,-8.769466120953625e-05,0.0002483988766401443,0.0003213748024769781,0.0003909297597743617,-0.0003658135925486629,-5.3155294123693074e-05,0.003521217712816132,1.2835716019543303e-05,0.00025644135614781685,0.0005241349109506604,-1.8270298965550304e-05,-0.0072288202009167185,-0.02599757268332008,-0.007165432316887079,-0.0024507724033249667,0.039672032594389124,0.007563098102693998,0.007347191122897059,0.007877993298903499,0.007678969056615602,-0.0008564451871123567,0.00035969993373108876,-0.0007655534876847901,-0.0003703667246881232,0.0006765546917718081,0.0011655466431996842,0.0006671119374360619,2.6015781636559382e-05,0.0007023972745540321,0.0006881884645715294,0.0009039203654791821,0.0014231747079705146,-0.0006966752926432852,0.0001305106157500015,-0.00027104074093480527,-0.0009415001737465694,0.0015768912864351937,-0.00010217324551595891,6.537931187220914e-05,-0.00017650846688019466,-0.00019510942158180704
sidewalk=missing,-0.0003928764771317969,-0.0011983595960234309,-0.000875402799871588,0.00012702934639855686,-0.0007342773662554819,0.0009363276797374137,-0.0006727096607791634,-0.0011286993890939259,0.00017005777764073917,0.000480759581987498,2.3105119464454632e-05,-0.0008767672286812608,-0.0014242636082924774,-0.001054979285110783,-0.0006356825209194093,-0.00020855013667304216,-8.1456234470706e-05,-0.00037993450716775935,-0.001490044904905543,0.0004468635705256693,0.0003720148430599174,-0.0007648954165657437,-0.0017072284713535826,-0.0008440638053125017,-0.0012229607315396664,-0.0005921538239667635,-0.0007797572386262521,-0.0005935305187180395,0.0015008131086221702,-0.00038646030809091057,-0.0002170971395341599,-0.00020890188658746265,0.0005161259966144538,-0.007399956080560785,-0.008241417843444078,-0.009007456220712117,-0.002025124417617049,0.00756309810269399,0.008668939054303125,0.007780868894963421,0.007584941509915287,0.007117923008333523,-0.0008320984496458434,-0.00018977865171826904,-0.0005806184127546095,-8.432792753648357e-05,-0.00017143674777384219,1.852258659509782e-05,0.00025117408321946046,8.23468301170414e-05,0.00022904307718725543,0.00020265424542389833,-0.00035638424247996683,0.000646726744331819,-0.00037791373687356077,0.00022714975206668012,-0.0009682354147185874,-0.0005107932755419208,0.0038730138351462345,6.28100203476359e-05,0.00024083549041211736,-6.62190529330322e-05,-0.00010004027464105043
sidewalk=no,-0.0025341075868074692,-0.005036070940569765,-0.002555652032086568,0.0030683930234806996,-0.0027351072038744066,-0.001743098385410718,-0.002781510559786397,-0.0029556956695496227,-0.002221627012773064,-0.00255479194623076,0.0017285339238251969,-0.0023477924156556544,0.0007265989634992724,-0.00028466011364553797,0.00326617321611996,0.0011148085594873494,0.004201443746902628,0.0014190087243672366,-0.003918717152021273,0.0023093239440725066,0.004782000567408271,-0.0004211863143613007,-0.0007381755627354965,0.00037153941643399357,0.0012395749991171727,0.0007771871608613032,-0.014627518049438694,0.0005171550521528932,-0.0038142888087274204,1.0437812018967728e-06,-0.006108342724542846,-0.009581220046831068,-0.005956971716516659,-0.006224070076049967,-0.006921240910043993,-0.0064695566376252725,-0.001614353650175117,0.007347191122897078,0.007780868894963438,0.026176808095157853,0.007498644458371109,0.007639579734428117,-0.0027250332981699024,-0.0012692368350693305,0.0034793038706430494,-3.075537502073293e-05,0.0036760485956658304,0.004598385987537511,0.00425965448260265,0.0033576383864670463,0.005533474726478038,0.0005623984211391638,0.004974081420914676,0.0004255506888330665,-0.00036279509540022956,0.014029859102081052,-0.0018469856713445648,-0.0004290654544146219,0.00426645313064285,0.0001860033209681911,0.00116624462377133,-0.00021861241397299353,-0.00019649200756409826
